aX,aY,aZ,gX,gY,gZ
-78.7,-447.0,1078.0,144,188,-142
-86.9,-454.1,1056.8,110,114,-132
-107.1,-452.4,1043.7,77,47,-102
-122.9,-449.3,1034.4,66,30,-64
-118.3,-444.4,1026.5,75,54,-41
-106.1,-448.1,1015.5,72,74,-35
-90.5,-444.9,1000.8,55,68,-28
-89.2,-451.2,991.1,40,65,-13
-90.5,-452.0,978.7,-4,63,-16
-82.6,-450.2,946.8,-50,77,-17
-100.5,-445.5,928.8,-41,108,-2
-114.4,-436.8,922.3,-17,88,-5
-130.4,-433.7,917.7,-6,23,-30
-133.6,-434.4,922.6,0,-42,-63
170.2,-440.1,2970.6,-1037,19,-192
303.5,-548.4,3172.0,-1791,118,-65
297.7,-933.8,2796.7,-2676,29,138
-120.3,-2105.5,1949.0,-3424,-84,89
203.9,-1133.1,2798.1,-2634,-131,249
237.3,-1043.1,3245.1,-3143,-404,148
207.2,-792.9,3293.5,-3963,-812,397
152.6,-392.4,3046.2,-4815,-452,905
84.4,-103.6,2624.1,-5578,840,1543
14.5,126.8,2211.0,-6142,2422,2114
-37.6,290.7,1902.6,-6592,3548,2414
-89.2,419.1,1643.3,-7019,3921,2374
-86.9,495.6,1373.4,-7428,3551,2030
-33.2,535.2,1119.0,-7754,2682,1612
-22.4,584.6,872.5,-7946,1694,1281
-61.1,665.8,668.4,-7830,772,1014
-84.7,672.1,574.4,-7551,130,815
-110.0,644.3,556.6,-7362,-87,807
-138.2,673.8,487.0,-7192,-16,955
-122.2,753.2,343.1,-6920,301,1138
-117.7,774.6,180.6,-6549,756,1284
-123.0,779.8,36.4,-6106,1283,1258
-120.3,759.9,-136.8,-5639,1827,1027
-51.7,736.0,-326.1,-5154,2142,696
-12.2,706.3,-491.3,-4746,2135,442
-42.7,744.4,-678.4,-4408,1874,271
-93.6,802.2,-934.6,-4074,1472,88
-110.3,846.3,-1229.8,-3743,1055,-77
-142.3,860.8,-1586.0,-3371,726,-212
-195.3,883.2,-1927.2,-2839,511,-359
-205.2,868.4,-2215.9,-2287,339,-609
-209.1,836.6,-2472.5,-1757,154,-885
-214.6,858.9,-2758.9,-1112,81,-978
-201.3,910.6,-3025.1,-352,221,-957
-66.5,922.6,-3297.5,290,451,-976
86.9,912.1,-3509.5,1101,590,-974
232.4,887.2,-3437.4,2113,630,-932
305.0,767.7,-3154.3,3038,605,-887
403.6,633.5,-2842.0,3726,373,-832
429.3,551.0,-2601.0,4182,-62,-728
339.0,525.1,-2330.8,4641,-450,-591
237.3,524.0,-2005.6,5138,-745,-497
113.7,495.1,-1683.6,5579,-967,-459
17.1,461.3,-1358.7,5895,-1162,-444
-40.1,421.6,-1092.6,6029,-1369,-468
-60.0,395.6,-879.5,6047,-1606,-456
-96.7,428.3,-701.6,6023,-1870,-446
-164.9,536.8,-547.0,6079,-2092,-562
-211.9,612.6,-363.8,6245,-2203,-867
-174.7,635.6,-139.4,6420,-2183,-1223
-91.3,603.4,117.0,6524,-2005,-1454
-20.4,565.8,431.6,6493,-1632,-1477
62.8,517.4,752.0,6243,-1196,-1354
145.3,445.3,1030.2,5809,-899,-1152
281.1,456.2,1196.5,5259,-779,-878
357.9,551.9,1278.9,4797,-873,-652
361.7,757.6,1293.4,4670,-1062,-656
318.4,813.0,1430.9,5025,-1028,-889
256.9,597.4,1728.5,5372,-698,-1095
184.2,424.0,1912.8,5350,-318,-1041
104.7,342.0,1962.7,5068,-77,-882
124.9,286.5,2141.1,4818,-228,-851
145.2,120.0,2379.2,4443,-634,-914
160.8,-27.1,2581.4,3922,-795,-846
158.0,-168.0,2673.4,3334,-543,-671
143.8,-320.9,2628.7,2781,-41,-406
105.3,-396.3,2515.8,2351,383,-136
73.7,-398.8,2383.0,2061,596,-45
112.8,-521.3,2284.4,1820,589,-111
181.0,-605.7,2159.9,1513,399,-117
196.2,-622.3,1981.4,1172,204,-7
132.4,-654.8,1818.9,923,134,84
36.4,-655.8,1693.7,701,100,135
-39.4,-657.1,1588.7,489,8,123
-77.0,-675.9,1503.0,316,-99,77
-100.4,-682.5,1406.3,174,-152,59
-137.6,-647.0,1278.2,114,-135,79
-165.7,-620.6,1188.4,161,-65,98
-164.5,-596.7,1144.7,213,-31,88
-138.7,-568.6,1105.0,219,-29,54
-111.4,-535.5,1084.1,193,-14,26
-78.8,-529.1,1056.9,134,18,33
-62.8,-502.5,1036.6,95,56,64
-97.8,-460.6,1026.0,81,58,88
-132.9,-425.3,1004.2,62,32,66
-149.0,-409.6,975.5,52,40,35
-152.3,-396.1,964.5,48,75,10
-135.8,-393.1,956.4,30,101,-21
-106.3,-391.6,929.9,4,119,-31
-85.4,-372.1,898.2,-6,177,-14
-83.8,-349.4,886.2,12,238,9
-85.9,-339.6,886.7,15,238,-4
-83.1,-334.9,901.2,5,162,-44
-69.1,-355.9,911.1,-27,66,-87
-64.5,-365.8,919.0,-50,11,-87
-67.3,-356.0,915.5,-70,1,-84
-58.0,-370.4,894.1,-74,18,-91
-58.0,-379.1,866.2,-52,37,-70
-63.7,-380.8,835.6,-30,51,-44
-70.3,-378.8,820.6,-10,54,-29
-80.4,-372.2,814.0,4,48,-33
-86.7,-373.6,817.0,18,35,-52
-89.1,-365.4,842.2,47,16,-73
-92.4,-386.6,879.1,51,-3,-101
122.5,-634.9,1949.3,-1775,-154,317
174.7,-652.1,2021.4,-2197,-7,509
190.4,-683.4,2106.5,-2628,266,754
154.2,-699.3,2132.1,-3154,560,1017
76.0,-620.4,2125.9,-3653,709,1230
-7.0,-579.7,2090.3,-4040,701,1270
-63.2,-567.8,2065.1,-4392,639,1241
-93.0,-540.1,2109.6,-4691,585,1193
-69.1,-556.2,2201.9,-5012,602,1178
-37.7,-538.8,2201.9,-5465,666,1244
-13.3,-470.8,2050.8,-5885,712,1344
-4.3,-386.9,1843.7,-6077,712,1390
-27.3,-292.6,1661.0,-6039,609,1308
-22.4,-286.7,1567.3,-5832,489,1107
34.2,-322.6,1499.5,-5712,497,995
51.0,-321.1,1403.6,-5734,559,1073
-10.4,-215.0,1261.4,-5802,828,1317
-81.5,-37.6,1037.1,-5941,1360,1592
-192.4,179.6,728.5,-6049,1822,1716
-307.0,387.1,392.6,-5987,1950,1592
-379.1,500.9,226.8,-5794,1734,1230
-392.2,544.0,82.3,-5679,1421,830
-368.8,594.4,-115.0,-5484,1248,564
-338.3,611.0,-208.9,-5123,1146,356
-273.4,583.6,-295.7,-4834,995,163
-216.6,604.5,-467.4,-4566,802,73
-203.3,661.6,-665.8,-4238,672,140
-241.2,767.5,-945.4,-3855,731,271
-269.7,839.6,-1300.6,-3383,1049,353
-286.8,837.2,-1651.8,-2862,1452,408
-289.6,854.4,-2014.0,-2306,1727,353
-271.2,850.5,-2306.8,-1781,1779,124
-200.4,795.9,-2570.1,-1370,1558,-248
-99.4,729.2,-2803.2,-902,1151,-533
4.9,675.8,-2930.3,-285,771,-698
104.2,584.6,-2935.0,399,451,-820
199.6,478.6,-2828.0,1085,194,-880
245.2,354.7,-2636.4,1764,18,-848
235.8,230.3,-2364.4,2406,-132,-788
254.4,115.0,-2081.1,2919,-345,-726
225.9,27.8,-1857.5,3271,-582,-647
180.7,-2.7,-1673.6,3602,-713,-526
102.6,-26.4,-1504.5,3914,-716,-432
48.4,-35.3,-1333.8,4174,-677,-386
-6.6,-80.9,-1185.8,4361,-701,-374
-55.3,-57.3,-1014.7,4527,-829,-362
-117.5,-72.2,-847.8,4578,-1019,-428
-145.5,-64.4,-719.2,4618,-1229,-527
-158.2,-46.6,-592.1,4723,-1400,-603
-158.0,-55.0,-429.3,4859,-1505,-700
-138.7,-80.2,-239.1,4949,-1577,-764
-108.9,-91.3,-32.2,4930,-1623,-786
-85.5,-107.0,148.7,4809,-1607,-789
-75.3,-97.6,260.3,4641,-1578,-788
-64.1,-44.9,313.9,4559,-1449,-780
-82.5,58.4,392.1,4582,-1200,-807
-98.6,140.2,466.3,4718,-1018,-961
-48.9,146.0,598.0,4930,-1076,-1213
19.3,80.9,835.8,5096,-1356,-1425
102.1,-36.6,1183.5,5054,-1709,-1582
178.9,-167.1,1479.1,4686,-1835,-1581
225.7,-299.1,1656.4,4136,-1480,-1324
225.7,-312.3,1718.5,3521,-748,-884
180.8,-255.1,1671.6,2974,-45,-512
128.5,-96.4,1507.9,2733,320,-370
116.4,-68.9,1448.8,2886,442,-451
132.5,-169.8,1625.2,3127,338,-587
132.9,-289.3,1757.4,3108,64,-677
96.3,-364.9,1785.5,2919,-56,-638
71.0,-426.6,1771.9,2685,131,-520
81.0,-488.0,1743.9,2383,449,-378
106.0,-492.8,1679.2,2011,690,-228
129.8,-491.7,1658.8,1706,626,-153
117.0,-504.3,1600.4,1450,297,-154
62.7,-490.6,1519.1,1349,98,-139
