aX,aY,aZ
452.9,31.2,1077.5
390.4,46.8,1030.7
296.7,-62.5,1249.3
-234.2,62.5,1186.8
-265.5,-124.9,1061.9
-281.1,-15.6,796.4
-46.8,-62.5,843.3
312.3,93.7,671.5
437.2,46.8,780.8
359.2,31.2,812.0
124.9,0.0,983.8
-265.5,-78.1,812.0
-390.4,-46.8,858.9
-124.9,-187.4,968.2
0.0,-15.6,937.0
437.2,-78.1,1061.9
390.4,78.1,937.0
249.9,-124.9,1280.5
-203.0,78.1,1202.4
-265.5,-93.7,1249.3
-452.9,0.0,1077.5
-15.6,-15.6,843.3
156.2,78.1,858.9
406.0,62.5,999.4
374.8,0.0,890.1
140.5,-15.6,1030.7
-265.5,15.6,780.8
-374.8,-109.3,858.9
-187.4,-203.0,765.2
-46.8,0.0,983.8
359.2,-109.3,780.8
406.0,78.1,952.6
249.9,-109.3,999.4
-78.1,62.5,1108.7
-203.0,-93.7,1233.7
-452.9,62.5,1171.2
-62.5,-15.6,1046.3
171.8,140.5,796.4
421.6,78.1,999.4
406.0,124.9,827.6
93.7,-31.2,1124.4
-265.5,31.2,843.3
-406.0,-124.9,858.9
-93.7,-203.0,827.6
-46.8,-15.6,999.4
421.6,-62.5,812.0
421.6,109.3,999.4
234.2,-124.9,1233.7
-265.5,78.1,1140.0
-265.5,-109.3,1280.5
-437.2,0.0,1046.3
-62.5,-31.2,749.6
187.4,62.5,796.4
437.2,62.5,718.3
390.4,-31.2,796.4
109.3,0.0,1030.7
-265.5,15.6,827.6
-421.6,-109.3,858.9
-62.5,-187.4,780.8
-62.5,0.0,968.2
374.8,-46.8,874.5
437.2,46.8,1077.5
343.6,-93.7,1046.3
-124.9,62.5,1171.2
-281.1,-109.3,1233.7
-421.6,46.8,983.8
-62.5,-15.6,983.8
218.6,124.9,734.0
437.2,62.5,952.6
421.6,78.1,890.1
140.5,-15.6,1015.0
-265.5,0.0,812.0
-359.2,-124.9,812.0
-187.4,-187.4,780.8
-46.8,15.6,1046.3
499.7,-46.8,937.0
421.6,31.2,968.2
249.9,-78.1,1061.9
-140.5,78.1,1171.2
-296.7,-93.7,1124.4
-374.8,62.5,1249.3
-46.8,0.0,952.6
249.9,109.3,1030.7
421.6,46.8,874.5
390.4,62.5,937.0
109.3,0.0,983.8
-281.1,-15.6,968.2
-359.2,-78.1,874.5
-171.8,-93.7,796.4
-46.8,15.6,780.8
437.2,-31.2,1015.0
421.6,46.8,843.3
327.9,-109.3,1155.6
-140.5,31.2,1061.9
-234.2,-93.7,1327.4
-468.5,62.5,1155.6
-62.5,-46.8,905.7
296.7,93.7,999.4
421.6,62.5,890.1
374.8,78.1,921.3
140.5,0.0,1202.4
-265.5,78.1,874.5
-374.8,-93.7,983.8
-249.9,-124.9,827.6
-46.8,15.6,780.8
437.2,-62.5,718.3
421.6,46.8,827.6
312.3,-140.5,858.9
0.0,31.2,1030.7
-281.1,-140.5,983.8
-468.5,-15.6,1171.2
-78.1,-62.5,1108.7
109.3,171.8,1124.4
421.6,78.1,1108.7
374.8,124.9,843.3
124.9,-15.6,1202.4
-281.1,-15.6,843.3
-390.4,-93.7,858.9
-171.8,-140.5,812.0
-62.5,0.0,796.4
437.2,-62.5,749.6
406.0,46.8,874.5
327.9,-140.5,983.8
-15.6,62.5,1124.4
-249.9,-140.5,1264.9
-484.1,15.6,1186.8
-46.8,-93.7,1061.9
109.3,93.7,952.6
