aX,aY,aZ
-15.6,-156.2,983.8
140.5,156.2,905.7
203.0,-31.2,999.4
156.2,-187.4,1077.5
-15.6,109.3,968.2
-171.8,-93.7,952.6
-78.1,-15.6,1015.0
109.3,156.2,937.0
265.5,-109.3,999.4
124.9,0.0,1061.9
-140.5,-78.1,968.2
-62.5,-124.9,1155.6
-124.9,109.3,999.4
-15.6,93.7,1061.9
156.2,-109.3,952.6
203.0,140.5,952.6
-15.6,-124.9,937.0
-109.3,-46.8,1140.0
-78.1,218.6,874.5
15.6,-62.5,952.6
78.1,-31.2,843.3
156.2,-15.6,1061.9
156.2,-156.2,1077.5
-93.7,15.6,1015.0
-265.5,109.3,968.2
62.5,-62.5,1030.7
156.2,78.1,921.3
140.5,-171.8,983.8
171.8,-171.8,1015.0
-15.6,140.5,999.4
-249.9,-124.9,983.8
-31.2,-46.8,968.2
109.3,109.3,937.0
203.0,-46.8,890.1
171.8,-93.7,1077.5
-109.3,-15.6,1015.0
-124.9,-156.2,1093.1
-109.3,156.2,937.0
62.5,93.7,1046.3
218.6,-78.1,905.7
187.4,93.7,1030.7
-46.8,-109.3,952.6
-93.7,-93.7,1108.7
-124.9,249.9,843.3
0.0,0.0,968.2
93.7,62.5,796.4
140.5,93.7,1046.3
156.2,-218.6,1061.9
-15.6,109.3,983.8
-249.9,-31.2,983.8
-46.8,-15.6,937.0
156.2,171.8,952.6
187.4,-140.5,952.6
124.9,-171.8,983.8
-15.6,0.0,968.2
-156.2,-124.9,1108.7
-156.2,109.3,874.5
15.6,93.7,983.8
249.9,-93.7,937.0
218.6,31.2,1015.0
-62.5,-124.9,983.8
-78.1,-124.9,1108.7
-62.5,187.4,921.3
31.2,78.1,1108.7
93.7,-140.5,905.7
171.8,46.8,999.4
187.4,-203.0,1015.0
-46.8,93.7,983.8
-187.4,46.8,1015.0
-15.6,-31.2,983.8
109.3,171.8,905.7
171.8,-171.8,952.6
140.5,-78.1,1093.1
15.6,15.6,999.4
-187.4,-93.7,1061.9
-62.5,93.7,1077.5
62.5,31.2,1046.3
265.5,-15.6,921.3
218.6,-46.8,999.4
-78.1,-78.1,952.6
-78.1,-171.8,1124.4
-93.7,171.8,905.7
62.5,-15.6,1046.3
78.1,-124.9,890.1
171.8,62.5,999.4
171.8,-124.9,1077.5
-62.5,-15.6,968.2
-171.8,15.6,1030.7
31.2,62.5,983.8
140.5,93.7,905.7
187.4,-156.2,937.0
124.9,-140.5,1030.7
0.0,93.7,1030.7
-203.0,-124.9,1124.4
-109.3,-31.2,905.7
78.1,109.3,952.6
218.6,-109.3,890.1
124.9,-15.6,1030.7
-140.5,-46.8,921.3
-62.5,-124.9,1093.1
-109.3,140.5,937.0
62.5,93.7,968.2
203.0,-93.7,921.3
203.0,156.2,983.8
-15.6,-156.2,983.8
-46.8,-46.8,1015.0
-124.9,234.2,921.3
0.0,-31.2,937.0
93.7,-46.8,843.3
140.5,-31.2,1046.3
171.8,-156.2,1015.0
-31.2,124.9,999.4
-249.9,-46.8,921.3
-62.5,-78.1,1046.3
140.5,140.5,937.0
187.4,-171.8,968.2
140.5,-156.2,1077.5
-31.2,124.9,983.8
-249.9,-109.3,1155.6
-62.5,-46.8,983.8
93.7,156.2,921.3
187.4,-78.1,905.7
171.8,-62.5,1030.7
-124.9,-109.3,999.4
-124.9,-140.5,1046.3
-140.5,124.9,874.5
0.0,109.3,999.4
218.6,-124.9,937.0
203.0,78.1,983.8
-46.8,-124.9,983.8
-62.5,-109.3,1077.5
-124.9,234.2,921.3
15.6,-46.8,968.2
109.3,-78.1,858.9
156.2,31.2,937.0
156.2,-171.8,999.4
-31.2,124.9,937.0
-203.0,15.6,983.8
-62.5,-78.1,999.4
171.8,171.8,905.7
203.0,-187.4,937.0
124.9,-109.3,999.4
-62.5,0.0,968.2
